1,,,とうさんは犯人じゃない,本文
2,,,"セイヤは、東の空にのぼり始めた月をゆううつな気持ちで見つめていました。
「ああ、今夜は満月で、こんなに明るくかがやいているのに、ぼくの心は真っ暗だ。なんとかとうさんの疑いを晴らす方法はないのかなあ。」
今、セイヤの父親は、勤めている宝石店にどろぼうが入った事件で、警察に犯人と疑われ、取り調べを受けているのです。
「ぼくに後ろめたいことはするなといつも言っているとうさんが、どろぼうなんてするわけがないのに…・・・・・・。」
そう思うと、くやしさがこみ上げてきて、セイヤのほおをなみだがつたいました。",本文
3,,,"その事件が起きたのは、十日前のことでした。定休日だった宝石展に、どろぼうは、ドアや窓をこわすことなく、かぎを使って入っていました。
店のかぎを持っていたのは、三人だけでした。一人は店長の中山、もう一人は副店長の吉田、残る一人が、同じく副店長のセイヤの父親でした。
どろぼうが入ったのは夜の七時で、その時間、防犯カメラのスイッチは、犯人によって切られていました。こうしたことから、警察は店のことをよく知る三人に疑いをかけたのです。",本文
4,,,"真っ先に、その時間のアリバイを証明したのは、副店長の吉田でした。家族でレストランに食事に出かけ、そこの支配人が確かに来たと証言したのです。店長の中山は、近所のお祭りを一人でふらりと見に行き、よみせをバックに写してもらった写真をしょうことして出しました。写真には公園の時計台がうつっていて、時刻は七時十五分を示していました。
しかし、セイヤの父親は一人でつりに出かけ、だれにも会わなかったため、アリバイを証明するしょうこがありませんでした。",本文
5,,,"「くやしいけど、泣いてもしかたがないな。そうだ、いつもの観察ノートをつけなくちゃ。」
セイヤはなみだをふいて、ノートを開きました。セイヤの夢は天文学者になることです。そこで毎夜、ベランダで月や星の様子を観察して、ノートに記録しているのです。
「ええと、次に満月が見られるのは、ひと月後か・・・・・。」",本文
6,,,"その夜おそく、セイヤの父親は、警察からつかれきって帰ってきました。セイヤも母親もねむらずに待っていました。
セイヤは父親に聞きました。「疑いは晴れたの？」父親は力なく首をふって答えました。
「いいや。あの晩、確かにつりに行っていた証拠がないと言われ続けてね。それが証明できなければ、おれが宝石どろぼうかもしれないという疑いは晴れないっていうわけなんだ。」",本文
7,,,"母親がため息をついて言いました。
「そう…..。それで、店長の中山さんもお一人で出かけていたそうだけれど、お祭りに行っていたというのは確かなの？」父親は残念そうに、こくりとうなずきました。
「ああ。警察の調べによると、確かにその日、その場所でお祭りが開かれていたそうだ。すれちがった人にとってもらったという写真を見せてもらったけれど、にぎやかなお祭りをバックに、店長の姿がしっかり写っていたよ。空にはきれいな満月がうかんでいたなぁ。」
それを聞いて、セイヤははっとしました。",本文
8,,,"「その写真って、コンピューターを使って合成したものじゃないよね。」「うん。今、警察が調べているところらしいけど、残念ながらまちがいはなさそうなんだ。」
すると、セイヤは父親の手を取って言いました。
「とうさん、それは、十日前の写真じゃない。ぼくが証明してみせる！
宝石をぬすんだのはきっと店長だよ。」さて、セイヤは、どうやって証明するつもりなのでしょう。",本文
1,,,父親の勤める宝石店に泥棒が入ったのはいつでしたか。,問題
2,,,店長と副店長の3人に疑いがかけられたのはなぜですか。四角に合う言葉を書きましょう。犯人が四角を使って店内に、はいり、犯行の間、四角のスイッチを切っていたから。,問題
3,,,副店長の吉田は誰とどこへ行ったことがアリバイとして証明されましたか。,問題
4,,,店長の中山が証拠として出したのは何ですか。四角に合う言葉を書きましょう。近所の四角を見に行った時に、四角をバックに写した自分の写真。,問題
5,,,セイヤが毎夜観察ノートに記録していることは何ですか。,問題
1,,,父親の疑いが晴れないのはなぜですか。,問題
2,,,店長の中山のお祭りの写真が証拠として認められたのはなぜですか。合う方に丸をつけましょう。ア。店長に写真を撮るように頼まれた人が見つかり、店長のアリバイを証言したから。イ。店長が行ったというお祭りは、確かにその日、その場所で開かれていたことが調査でわかったから,問題
3,,,"店長の写真の中で、父親は空に何が写っていたと記憶していましたか。
",問題
4,,,"せいやが店長の写真は10日前のものではないと言ったのはなぜだと考えられますか。四角に合う言葉を書きましょう。

父親は四角が写っていたというが、今夜が四角なので、写真は四角前のものではないことがわかるから。",問題
